start,text
0.0,Hello and welcome to the UCL
11.6,and DeepMind lecture series.
14.6,"My name's Felix Hill, and I'm"
16.88,going to be talking to you about
19.32,deep learning and language
21.88,understanding. So here's an
25.080000000000002,overview of the structure of
27.36,today's talk. It's going to be
28.96,divided into four sections. So
31.52,"in the first section, I'll talk"
33.32,a little bit about neural
34.8,computation in general and
36.92,"language in general, and then"
39.0,give some idea of why neural
42.0,"computation, deep learning and"
43.72,language might be an appropriate
46.8,fit to come together and produce
49.32,the sort of improvements and
51.96,impressive language processing
53.400000000000006,performance that we've seen over
54.44,the last few years. In the
56.92,"second section, I'll focus in on"
59.36,one particular neural language
61.480000000000004,"model, which I think is quite"
63.36,representative of a lot of the
64.56,principles that govern all neural
66.64,language models. And that model
68.08,"is the Transformer, which was"
69.84,released in 2018. And then in
74.08,"section three, I'll go a bit"
76.68,deeper into a particular
78.2,"application of the Transformer,"
80.04,that's the well-known BERT
81.28,model. And BERT in particular is
84.08,an impressive demonstration of
85.64,unsupervised learning and the
87.28,ability of neural language
88.6,models to transfer knowledge
90.92,from one training environment to
93.92,another. And then in the final
97.12,"section, we'll take a bit more"
99.12,of a look towards the future of
100.84,language understanding and deep
102.68,"learning. And to do that, we'll"
105.24000000000001,delve into some work that's been
106.8,done at DeepMind on grounded
108.44,"language learning, where we"
110.76,study the acquisition of
112.52,language in deep neural networks
114.52,that have the ability to
115.52,interact and move around
117.75999999999999,simulated environments. So
121.0,that's the overall structure.
123.03999999999999,It's important to add that of
124.19999999999999,"course, natural language"
125.44,processing is an enormous field
127.44,and there are many things that
128.88,I'm not going to have the time
130.0,to talk about during this
131.07999999999998,lecture. So some of the most
132.68,important ones are things like
133.92,sequence to sequence models and
135.8,specific applications of deep
137.35999999999999,learning to neural machine
138.72,translation. Also speech
141.32,recognition and speech
142.4,synthesis are really important
143.88,applications that I won't have
145.16,time to talk about. And then
146.79999999999998,"there's many NLP tasks, which I"
148.64,also won't get the chance to
150.48,delve into from machine
151.92,comprehension and question
152.79999999999998,answering and dialogue. And even
154.24,in grounded language learning in
155.44,"the last section, I won't get"
157.04,the chance to go into things
158.24,like visual question answering
159.48,and video captioning. So in
161.07999999999998,"short, the important thing to"
163.2,take away is that I'm not going
164.88,to have the chance to cover all
166.16,aspects of natural language
167.2,processing. I'm going to just
168.51999999999998,talk about a few focused areas
171.0,and that's because I think they
172.28,they're quite representative and
173.56,they hopefully convey the key
174.72,concepts. It's not because I
176.56,think they're more important or
178.2,more valid than any other areas.
180.44,"Yeah, cool. So let's start off"
185.04,with a bit of background about
186.4,deep learning and language and
187.8,how they might fit together. Of
190.2,"course, where we are now is that"
193.04,there's been a load of
193.8,impressive results relating deep
195.6,learning to natural language
196.84,processing in the last few
198.16,years. So you may have heard of
199.64,models like GPT2 or BERT or
204.44,"WaveNet, which was developed in"
205.79999999999998,DeepMind and all of these models
207.83999999999997,have done really impressive
209.32,things with respect to the
210.79999999999998,various aspects of language
212.07999999999998,processing that they focus on.
213.67999999999998,So GPT2 as a language model is
216.16,now able to produce long
217.72,"streams of text, which look like"
219.23999999999998,plausible stories and BERT has
221.64,led to very large improvements
224.35999999999999,on many language classification
226.27999999999997,tasks. And of course WaveNet has
228.24,led to fantastic performance in
231.0,speech synthesis where we're now
233.20000000000002,able to synthesise voices for
235.04000000000002,various speech applications with
237.44,much more fidelity than was
238.60000000000002,previously possible. So it's
240.44,really like an exciting era for
242.88,natural language processing and
245.24,we're moving at a rate of
246.16000000000003,"progress, which is possibly"
247.76000000000002,"unprecedented, at least in"
249.60000000000002,recent years. So if you think
253.28,about all the sort of panorama
254.68,"of different things, you might"
255.64000000000001,be able to apply language models
257.2,or language processing technology
258.59999999999997,too. Like to a much greater
262.56,extent than at any point in the
263.71999999999997,"past, neural computation and"
266.0,deep learning plays a role in
267.8,those systems. So on the left we
269.71999999999997,have systems which are almost
270.76,now entirely based on neural
272.24,networks from machine
273.24,translation systems to speech
274.84,synthesis systems and speech
276.36,recognition. And then on the
278.48,"right here, it's important to"
279.76,note that there are still many
280.91999999999996,applications which do language
282.52,"processing, but don't use deep"
285.59999999999997,learning or neural networks for
286.92,all of their computation or even
289.2,at all. So things like home
290.88,"assistance, which you might have"
293.04,to provide specific pieces of
294.44,"information from the internet,"
296.56,we're still a long way from
297.92,building systems like that in an
300.08000000000004,end to end fashion in deep neural
301.52000000000004,"networks. Having said that, the"
304.56,balance of this particular scale
306.72,has moved a lot over the last
308.24,few years. And it's certainly a
309.76,trend towards more applications
312.72,of neural computation and neural
314.12,networks in language processing
315.52,applications. And it's not just
317.44,in practical applications. In
319.88,the slightly more focused world
321.15999999999997,"of research, we see a similar"
324.4,trend. So this is data from 2010
328.88,to 2016 and it covers
332.08,submissions to two of the main
333.96,"language processing conferences,"
335.84,ACL and EMNLP. And on the chart
339.12,you just see the number of
340.91999999999996,papers published at those
342.2,conferences for which the word
344.68,deep or neural is found in the
346.36,title. And you can see that back
348.36,"in 2010, there was close to, or"
351.04,effectively zero papers with
352.64,those words in the title. But by
355.16,"the time we got to 2016, this"
357.12,number had scaled up rapidly.
359.04,"And of course, there's a very"
360.04,good chance that if we looked at
362.12,"the data up to 2020, we would"
364.16,just expect this trend to
365.36,have continued in that time. And
369.0,it's obviously not just the
370.04,"number of publications, but the"
372.68,effective quality of systems and
375.0,"models, which seems to be"
376.12,improving over this time. So
378.04,here's just a snapshot in time
380.96,in 2018-2019 of how well the
384.12,best model was able to perform
386.2,on the GLUE benchmark. So the
388.44,GLUE benchmark just intended to
391.96000000000004,be a representative language
393.2,classification challenges.
395.16,Things like reading a couple of
397.12,saying whether one of them
398.64,"entails another one, or maybe"
400.84000000000003,classifying them as positive
402.4,"sentiment or negative sentiment,"
403.84,things like that. So our ability
406.4,to do those sorts of things
407.44,automatically is rapidly
409.0,increased according to this
410.52,"benchmark, just between 2018 and"
412.67999999999995,"19, you can see the rate of"
413.88,improvement from under 60%
415.4,performance to over approximately
417.79999999999995,"85% performance. And again, on"
419.4,"this task, on this benchmark,"
422.08,the performance has just
423.03999999999996,increased and increased up to
424.52,the present day. So this is a
428.59999999999997,sort of taken together a bunch
430.64,"of evidence that, you know, deep"
432.36,learning has really been able to
434.28,improve performance on a bunch
436.52,of language processing
437.4,applications. And I think
439.84,"looking at that evidence, it"
440.88,raises the question of why deep
443.4,"learning and models, which have"
445.12,this neural computation at the
446.4,heart of their processing have
449.12,been able to be so effective in
450.56,language processing. What is it
452.0,about deep learning and what is
453.52,"it about language, which has"
456.44,sort of allowed this sort of
458.08,effect to take place? And of
461.47999999999996,"course, if we can answer that"
462.68,"question, if we can understand"
463.96,"that, then that can help us to"
465.56,think a little bit about ways to
467.24,improve things further. But of
469.84,"course, in order to understand"
471.08,"that, we really need to think a"
473.88,bit about language. So in the
475.47999999999996,"other lectures in this series, I"
477.71999999999997,"think you've had a, we would"
478.79999999999995,have had a very comprehensive
479.96,introduction to deep learning
482.12,neural networks and the
484.28,principles of neural
485.12,"computation. In this lecture, I"
488.0,would like to just spend a bit
488.88,of time to think about language
490.8,"in itself, so we can start to"
492.64,think about why these two
494.32,paradigms fit well together. So
498.52,"the first thing about language,"
500.6,it's often said that language is
502.28,a process of manipulating
504.36,symbols or that language
506.44,processing involves symbolic
509.32,data in operations on symbols.
511.56,"So you know, if we had a"
515.32,sentence coming into a network
517.32,and a sentence coming out of a
518.24,"network, then one"
520.8000000000001,characterisation of that problem
522.5200000000001,is from mapping symbols to
524.0400000000001,"symbols, these very discrete"
526.7600000000001,"units. But of course, those who"
530.0400000000001,think a little bit more about
531.24,language specifically have many
533.88,reasons to believe that
534.84,individual words that we might
536.24,be passing to these models don't
537.96,seem to behave like discrete
539.32,symbols exactly. So let's just
541.9200000000001,consider an example of the word
543.5200000000001,face. If we think about the word
545.48,"face, we can find it in many"
546.96,different contexts in language.
548.76,"So in the sentence, did you see"
550.4000000000001,the look on her face? We could
553.4000000000001,see the clock face from below.
556.52,It could be time to face his
558.12,"demons, or there are a few new"
560.64,faces in the office today. And
562.84,"those, we will, as we think"
564.72,about those uses of the word
565.9200000000001,"face, we get some sense that"
568.2,they are different in meaning or
571.52,different in usage. And we call
572.84,these differences word senses.
574.68,But the important thing to note
576.2399999999999,about the different senses of
577.92,the word face is that they're
579.8399999999999,not entirely different. So it's
583.56,not the case that we should
585.28,model these as entirely
587.3599999999999,"independent symbols, which we"
590.3199999999999,would like to pass through a
591.3199999999999,"model. In actual fact, what we"
593.4399999999999,"find when we, when we delve into"
594.9599999999999,the meaning is that these
596.28,meanings have certain aspects in
597.88,"common, but they're just not"
599.7199999999999,identical. So if we think about
601.52,"the first case of face, we might"
603.36,think of that as the most
604.8000000000001,prototypical meaning. And of
607.12,"course, that's just the face"
608.6800000000001,that you can see in front of you
609.8000000000001,"now, the face, which is the most"
611.72,important side of somebody's
612.88,"head, the side for the eyes and"
614.32,"the nose. So yeah, as well as"
617.16,being the most important side of
618.76,"some, somebody, it's something"
620.5600000000001,that represents them. And it's
622.4,something which is used to
623.84,inform or communicate other
626.04,people. So if we think of all of
628.12,those as sort of features or
629.32,properties of this sense of
630.96,"face, then when we think about"
633.04,"the sense, the clock face, we"
636.0,see that it actually shares some
637.48,"of those properties, but not all"
639.12,of them. So it's also the most
641.36,"important side of the clock,"
643.36,clock face. And it's also the
644.88,side that's used to communicate
646.56,or inform others by conveying
649.36,some information. And then if we
651.5999999999999,think about this notion of face
653.16,"as a verb, to face your demons,"
655.8,"again, there's this idea that"
657.4,"when you face somebody, you"
659.4399999999999,point your literal face
661.56,directly at them. So it conveys
664.68,this same sense of the pointing
666.2399999999999,aspect of face that's also
668.56,conveyed in the core prototype.
